Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76881543-7;LÁCTEOS DANIEL ROMERO SILVA EMPRESA E.I.R.L.;3564;27/01/2021;30/01/2021 01:38:15;;0;25890;4919;;;30809;;;;;0;;;;0;;;;
2;33;Del Giro;76400343-8;COMERCIALIZADORA POLAR C P SPA;8286;30/01/2021;30/01/2021 01:38:11;;0;25606;4865;;;30471;;;;;0;;;;0;;;;
3;33;Del Giro;76950618-7;RASAN DELICIAS SPA;444;30/01/2021;30/01/2021 12:04:24;;0;66480;12631;;;79111;;;;;0;;;;0;;;;
4;33;Del Giro;77086861-0;DISTRIBUIDORA MERIDA SPA;2919;30/01/2021;30/01/2021 12:26:51;;0;27522;5229;;;32751;;;;;0;;;;0;;;;
5;33;Del Giro;79684790-5;Promerco S.A.;1472438;30/01/2021;30/01/2021 15:40:32;;0;215993;41039;;;258611;;;;;0;;;;0;27;1579;10;
6;33;Del Giro;76481576-9;ASF LOGISTICA SPA;4481666;30/01/2021;30/01/2021 19:17:04;;0;23496;4464;;;27960;;;;;0;;;;0;;;;
7;33;Del Giro;76481576-9;ASF LOGISTICA SPA;4481668;30/01/2021;30/01/2021 19:17:05;;0;6480;1231;;;7711;;;;;0;;;;0;;;;
8;33;Del Giro;76481576-9;ASF LOGISTICA SPA;4481667;30/01/2021;30/01/2021 19:17:05;;0;71247;13537;;;85384;;;;;0;;;;0;27;600;10;
9;33;Del Giro;76905062-0;DISTRIBUIDORA , COMERCIALIZADORA DE PRODUCTOS DE REPOSTERIA Y BANQUETE;2572;31/01/2021;31/01/2021 11:16:20;;0;35690;6781;;;42471;;;;;0;;;;0;;;;
10;33;Del Giro;77030204-8;INVERSIONES FERCHE SPA;1418;31/01/2021;31/01/2021 11:58:11;;0;56816;10795;;;67611;;;;;0;;;;0;;;;
11;33;Del Giro;77030204-8;INVERSIONES FERCHE SPA;1421;31/01/2021;31/01/2021 22:16:50;;0;31068;5903;;;36971;;;;;0;;;;0;;;;
12;33;Del Giro;96606310-6;BREDENMASTER SpA;2092588;01/02/2021;01/02/2021 04:12:38;;0;193266;36721;;;229987;;;;;0;;;;0;;;;
13;33;Del Giro;77086861-0;DISTRIBUIDORA MERIDA SPA;2931;01/02/2021;01/02/2021 11:17:18;;0;58654;11144;;;69798;;;;;0;;;;0;;;;
14;33;Del Giro;25973257-3;NAIRIN COROMOTO PALAVICINI ZAVALA;321;01/02/2021;01/02/2021 11:36:41;;0;53353;10137;;;63490;;;;;0;;;;0;;;;
15;33;Del Giro;91144000-8;Embotelladora Andina S.A.;67531008;02/02/2021;01/02/2021 11:57:41;;0;77330;14693;;;92498;;;;;0;;;;0;27;475;10;
16;33;Del Giro;96689310-9;TRANSBANK S.A.;35329522;27/01/2021;01/02/2021 13:07:42;;0;79241;15056;;;94297;;;;;0;;;;0;;;;
17;33;Del Giro;76839154-8;GLOBAL VE SPA;13250;01/02/2021;01/02/2021 14:36:04;;0;282412;53658;;;338973;;;;;0;;;;0;271;2903;18;
18;33;Del Giro;22773596-1;FREDY ALFONSO ARDILA GARZON;11063;01/02/2021;01/02/2021 14:57:05;;0;39159;7440;;;46599;;;;;0;;;;0;;;;
19;33;Del Giro;76949722-6;PGB DISTRIBUTION CHILE SPA;6531;01/02/2021;01/02/2021 15:29:53;;0;37320;7091;;;46338;;;;;0;;;;0;271;1927;18;
20;33;Del Giro;76891214-9;DIST.Y COMERCIAL CECILIO A. HIDALGO SPA;130577;02/02/2021;01/02/2021 15:47:27;;0;21947;4170;;;26117;;;;;0;;;;0;;;;
21;33;Del Giro;76115125-8;Opazo  Caamaño Ltda.;122419;01/02/2021;01/02/2021 16:02:44;;0;65068;12363;;;77431;;;;;0;;;;0;;;;
22;33;Del Giro;76876252-K;AGUA PURIFICADA ESTRELLA GREEN SPA;6696;01/02/2021;01/02/2021 18:33:29;;0;90588;17212;;;107800;;;;;0;;;;0;;;;
23;33;Del Giro;96591040-9;EMPRESAS CAROZZI S.A.;18366781;02/02/2021;01/02/2021 20:50:53;;0;153307;29128;;;182435;;;;;0;;;;0;;;;
24;33;Del Giro;96689310-9;TRANSBANK S.A.;35504340;28/01/2021;02/02/2021 02:31:05;;0;281042;53398;;;334440;;;;;0;;;;0;;;;
25;33;Del Giro;94528000-K;Evercrisp;25863085;02/02/2021;02/02/2021 05:55:09;;0;12410;2358;;;14768;;;;;0;;;;0;;;;
26;33;Del Giro;94528000-K;Evercrisp;25863086;02/02/2021;02/02/2021 05:55:09;;0;72381;13752;;;86133;;;;;0;;;;0;;;;
27;33;Del Giro;76950618-7;RASAN DELICIAS SPA;445;02/02/2021;02/02/2021 09:44:10;;0;9360;1778;;;11138;;;;;0;;;;0;;;;
28;33;Del Giro;76165284-2;TRANSPORTE - DISTRIBUCION Y COMERCIALIZACION DE PRODUCTOS DV LTDA.;235624;03/02/2021;02/02/2021 17:16:56;;0;7924;1506;;;10469;;;;;0;;;;0;24;1039;0;
29;33;Del Giro;76515462-6;DUNATI CHILE SPA;2911;02/02/2021;02/02/2021 17:34:15;;0;89820;17066;;;106886;;;;;0;;;;0;;;;
30;33;Del Giro;82623500-4;Ideal S.A.;36973641;02/02/2021;02/02/2021 20:55:55;;0;27933;5307;;;33240;;;;;0;;;;0;;;;
31;33;Del Giro;96606310-6;BREDENMASTER SpA;2094172;03/02/2021;03/02/2021 05:00:36;;0;141120;26813;;;167933;;;;;0;;;;0;;;;
32;33;Del Giro;94528000-K;Evercrisp;25865714;03/02/2021;03/02/2021 05:25:58;;0;14224;2703;;;16927;;;;;0;;;;0;;;;
33;33;Del Giro;76165284-2;TRANSPORTE - DISTRIBUCION Y COMERCIALIZACION DE PRODUCTOS DV LTDA.;235167;26/01/2021;03/02/2021 08:06:45;;0;39257;7459;;;51970;;;;;0;;;;0;24;5254;0;
34;33;Del Giro;17119330-3;ROMINA NIKOL MARCHANT BAUER;9040;03/02/2021;03/02/2021 11:45:30;;0;13025;2475;;;15500;;;;;0;;;;0;;;;
35;33;Del Giro;7109179-1;JAIME ENRIQUE BRUNA SOTO;7655;03/02/2021;03/02/2021 12:53:41;;0;4118;782;;;4900;;;;;0;;;;0;;;;
36;33;Del Giro;76462500-5;SURTI VENTAS S.A.;3712760;04/02/2021;03/02/2021 15:58:30;;0;108604;20635;;;129239;;;;;0;;;;0;;;;
37;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;2637084;04/02/2021;03/02/2021 16:40:42;;0;89847;17071;;;106918;;;;;0;;;;0;;;;
38;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;2637085;04/02/2021;03/02/2021 16:50:54;;0;50906;9672;;;60578;;;;;0;;;;0;;;;
39;33;Del Giro;77564110-K;INVERSIONES VIA K SPA;495782;03/02/2021;03/02/2021 17:31:57;;0;113329;21533;;;134862;;;;;0;;;;0;;;;
40;33;Del Giro;76824619-K;ENTUNEGOCIO SPA;415093;04/02/2021;03/02/2021 17:45:08;;0;100746;19140;;;119886;;;;;0;;;;0;;;;
